Sample_ID,Sample_Name,Sample_NameLIMS,FID_comment,Sample_Project,Library Protocol,Mergefastq,Read length,Organism
Sample_24L000314,24L000314,DTAG_1,,Project_925,SMARTer Stranded Total RNA,True,150-8-8-150,mouse
Sample_24L000315,24L000315,DTAG_2,,Project_925,SMARTer Stranded Total RNA,True,150-8-8-150,mouse
Sample_24L000316,24L000316,DTAG_3,,Project_925,SMARTer Stranded Total RNA,True,150-8-8-150,mouse
Sample_24L000317,24L000317,DTAG_4,,Project_925,SMARTer Stranded Total RNA,True,150-8-8-150,mouse
Sample_24L000318,24L000318,DTAG_5,,Project_925,SMARTer Stranded Total RNA,True,150-8-8-150,mouse
Sample_24L000319,24L000319,DTAG_6,,Project_925,SMARTer Stranded Total RNA,True,150-8-8-150,mouse
Sample_24L000320,24L000320,DTAG_7,,Project_925,SMARTer Stranded Total RNA,True,150-8-8-150,mouse
Sample_24L000321,24L000321,DTAG_8,,Project_925,SMARTer Stranded Total RNA,True,150-8-8-150,mouse
Sample_24L000322,24L000322,SLAM_1,,Project_925,SMARTer Stranded Total RNA,True,150-8-8-150,mouse
Sample_24L000323,24L000323,SLAM_2,,Project_925,SMARTer Stranded Total RNA,True,150-8-8-150,mouse
Sample_24L000324,24L000324,SLAM_3,,Project_925,SMARTer Stranded Total RNA,True,150-8-8-150,mouse
Sample_24L000325,24L000325,SLAM_4,,Project_925,SMARTer Stranded Total RNA,True,150-8-8-150,mouse
Sample_24L000326,24L000326,SLAM_5,,Project_925,SMARTer Stranded Total RNA,True,150-8-8-150,mouse
Sample_24L000327,24L000327,SLAM_6,,Project_925,SMARTer Stranded Total RNA,True,150-8-8-150,mouse
Sample_24L000328,24L000328,SLAM_7,,Project_925,SMARTer Stranded Total RNA,True,150-8-8-150,mouse
Sample_24L000329,24L000329,SLAM_8,,Project_925,SMARTer Stranded Total RNA,True,150-8-8-150,mouse
Sample_24L000330,24L000330,SLAM_9,,Project_925,SMARTer Stranded Total RNA,True,150-8-8-150,mouse
Sample_24L000331,24L000331,SLAM_10,,Project_925,SMARTer Stranded Total RNA,True,150-8-8-150,mouse
Sample_24L000332,24L000332,SLAM_11,,Project_925,SMARTer Stranded Total RNA,True,150-8-8-150,mouse
Sample_24L000333,24L000333,SLAM_12,,Project_925,SMARTer Stranded Total RNA,True,150-8-8-150,mouse
